#tstp   Ax    Ay
-1  0  0
0  -4.71244e-31  -4.71244e-31
1  -5.81631e-31  -5.81631e-31
2  -7.17546e-31  -7.17546e-31
3  -8.84815e-31  -8.84815e-31
4  -1.09058e-30  -1.09058e-30
5  -1.34359e-30  -1.34359e-30
6  -1.65454e-30  -1.65454e-30
7  -2.03655e-30  -2.03655e-30
8  -2.50565e-30  -2.50565e-30
9  -3.08142e-30  -3.08142e-30
10  -3.78784e-30  -3.78784e-30
11  -4.65416e-30  -4.65416e-30
12  -5.71612e-30  -5.71612e-30
13  -7.01734e-30  -7.01734e-30
14  -8.61104e-30  -8.61104e-30
15  -1.05621e-29  -1.05621e-29
16  -1.29498e-29  -1.29498e-29
17  -1.58703e-29  -1.58703e-29
18  -1.94413e-29  -1.94413e-29
19  -2.38057e-29  -2.38057e-29
20  -2.91375e-29  -2.91375e-29
21  -3.56485e-29  -3.56485e-29
22  -4.35961e-29  -4.35961e-29
23  -5.32933e-29  -5.32933e-29
24  -6.51204e-29  -6.51204e-29
25  -7.95392e-29  -7.95392e-29
26  -9.71104e-29  -9.71104e-29
27  -1.18514e-28  -1.18514e-28
28  -1.44576e-28  -1.44576e-28
29  -1.76297e-28  -1.76297e-28
30  -2.1489e-28  -2.1489e-28
31  -2.61823e-28  -2.61823e-28
32  -3.18878e-28  -3.18878e-28
33  -3.88208e-28  -3.88208e-28
34  -4.72421e-28  -4.72421e-28
35  -5.74668e-28  -5.74668e-28
36  -6.98764e-28  -6.98764e-28
37  -8.49316e-28  -8.49316e-28
38  -1.03189e-27  -1.03189e-27
39  -1.25321e-27  -1.25321e-27
40  -1.52139e-27  -1.52139e-27
41  -1.84622e-27  -1.84622e-27
42  -2.23951e-27  -2.23951e-27
43  -2.7155e-27  -2.7155e-27
44  -3.29135e-27  -3.29135e-27
45  -3.98773e-27  -3.98773e-27
46  -4.82954e-27  -4.82954e-27
47  -5.84675e-27  -5.84675e-27
48  -7.07541e-27  -7.07541e-27
49  -8.55888e-27  -8.55888e-27
50  -1.03493e-26  -1.03493e-26
51  -1.25094e-26  -1.25094e-26
52  -1.51143e-26  -1.51143e-26
53  -1.82546e-26  -1.82546e-26
54  -2.20386e-26  -2.20386e-26
55  -2.65966e-26  -2.65966e-26
56  -3.20847e-26  -3.20847e-26
57  -3.86902e-26  -3.86902e-26
58  -4.66373e-26  -4.66373e-26
59  -5.61948e-26  -5.61948e-26
60  -6.76846e-26  -6.76846e-26
61  -8.14919e-26  -8.14919e-26
62  -9.80776e-26  -9.80776e-26
63  -1.17993e-25  -1.17993e-25
64  -1.41897e-25  -1.41897e-25
65  -1.70577e-25  -1.70577e-25
66  -2.04974e-25  -2.04974e-25
67  -2.46212e-25  -2.46212e-25
68  -2.95632e-25  -2.95632e-25
69  -3.54832e-25  -3.54832e-25
70  -4.25723e-25  -4.25723e-25
71  -5.10578e-25  -5.10578e-25
72  -6.12108e-25  -6.12108e-25
73  -7.33543e-25  -7.33543e-25
74  -8.78728e-25  -8.78728e-25
75  -1.05224e-24  -1.05224e-24
76  -1.25952e-24  -1.25952e-24
77  -1.50705e-24  -1.50705e-24
78  -1.80252e-24  -1.80252e-24
79  -2.15509e-24  -2.15509e-24
80  -2.57562e-24  -2.57562e-24
81  -3.077e-24  -3.077e-24
82  -3.67456e-24  -3.67456e-24
83  -4.38645e-24  -4.38645e-24
84  -5.23423e-24  -5.23423e-24
85  -6.24341e-24  -6.24341e-24
86  -7.44427e-24  -7.44427e-24
87  -8.87263e-24  -8.87263e-24
88  -1.05709e-23  -1.05709e-23
89  -1.25894e-23  -1.25894e-23
90  -1.49873e-23  -1.49873e-23
91  -1.78351e-23  -1.78351e-23
92  -2.12156e-23  -2.12156e-23
93  -2.52269e-23  -2.52269e-23
94  -2.99849e-23  -2.99849e-23
95  -3.56262e-23  -3.56262e-23
96  -4.23123e-23  -4.23123e-23
97  -5.02333e-23  -5.02333e-23
98  -5.96135e-23  -5.96135e-23
99  -7.07174e-23  -7.07174e-23
100  -8.38563e-23  -8.38563e-23
101  -9.93968e-23  -9.93968e-23
102  -1.17771e-22  -1.17771e-22
103  -1.39485e-22  -1.39485e-22
104  -1.65138e-22  -1.65138e-22
105  -1.9543e-22  -1.9543e-22
106  -2.31186e-22  -2.31186e-22
107  -2.73374e-22  -2.73374e-22
108  -3.23131e-22  -3.23131e-22
109  -3.8179e-22  -3.8179e-22
110  -4.50916e-22  -4.50916e-22
111  -5.32342e-22  -5.32342e-22
112  -6.28218e-22  -6.28218e-22
113  -7.41058e-22  -7.41058e-22
114  -8.73812e-22  -8.73812e-22
115  -1.02993e-21  -1.02993e-21
116  -1.21343e-21  -1.21343e-21
117  -1.42905e-21  -1.42905e-21
118  -1.68228e-21  -1.68228e-21
119  -1.97957e-21  -1.97957e-21
120  -2.32843e-21  -2.32843e-21
121  -2.73764e-21  -2.73764e-21
122  -3.21741e-21  -3.21741e-21
123  -3.77968e-21  -3.77968e-21
124  -4.43834e-21  -4.43834e-21
125  -5.20959e-21  -5.20959e-21
126  -6.11228e-21  -6.11228e-21
127  -7.16832e-21  -7.16832e-21
128  -8.40324e-21  -8.40324e-21
129  -9.84668e-21  -9.84668e-21
130  -1.15331e-20  -1.15331e-20
131  -1.35025e-20  -1.35025e-20
132  -1.58014e-20  -1.58014e-20
133  -1.84836e-20  -1.84836e-20
134  -2.16116e-20  -2.16116e-20
135  -2.52578e-20  -2.52578e-20
136  -2.95062e-20  -2.95062e-20
137  -3.44538e-20  -3.44538e-20
138  -4.02131e-20  -4.02131e-20
139  -4.6914e-20  -4.6914e-20
140  -5.47067e-20  -5.47067e-20
141  -6.37649e-20  -6.37649e-20
142  -7.42889e-20  -7.42889e-20
143  -8.651e-20  -8.651e-20
144  -1.00695e-19  -1.00695e-19
145  -1.17151e-19  -1.17151e-19
146  -1.36232e-19  -1.36232e-19
147  -1.58347e-19  -1.58347e-19
148  -1.83964e-19  -1.83964e-19
149  -2.13622e-19  -2.13622e-19
150  -2.47941e-19  -2.47941e-19
151  -2.87635e-19  -2.87635e-19
152  -3.33518e-19  -3.33518e-19
153  -3.86529e-19  -3.86529e-19
154  -4.47742e-19  -4.47742e-19
155  -5.18388e-19  -5.18388e-19
156  -5.99874e-19  -5.99874e-19
157  -6.93811e-19  -6.93811e-19
158  -8.02042e-19  -8.02042e-19
159  -9.2667e-19  -9.2667e-19
