#tstp   Ax    Ay
-1  0  0
0  -7.079e-31  -2.34007e-31
1  -8.6787e-31  -2.94676e-31
2  -1.06357e-30  -3.70634e-31
3  -1.30289e-30  -4.65642e-31
4  -1.59544e-30  -5.84365e-31
5  -1.95292e-30  -7.32587e-31
6  -2.38956e-30  -9.17474e-31
7  -2.92268e-30  -1.1479e-30
8  -3.57334e-30  -1.43483e-30
9  -4.36716e-30  -1.79185e-30
10  -5.33525e-30  -2.23571e-30
11  -6.51541e-30  -2.78711e-30
12  -7.95351e-30  -3.47159e-30
13  -9.70526e-30  -4.32064e-30
14  -1.18382e-29  -5.37307e-30
15  -1.44344e-29  -6.67668e-30
16  -1.7593e-29  -8.29028e-30
17  -2.14344e-29  -1.02863e-29
18  -2.61046e-29  -1.27536e-29
19  -3.17798e-29  -1.58015e-29
20  -3.86739e-29  -1.95643e-29
21  -4.70453e-29  -2.42066e-29
22  -5.72065e-29  -2.99306e-29
23  -6.95354e-29  -3.69838e-29
24  -8.44885e-29  -4.56699e-29
25  -1.02617e-28  -5.63603e-29
26  -1.24588e-28  -6.951e-29
27  -1.51203e-28  -8.56754e-29
28  -1.83432e-28  -1.05537e-28
29  -2.22445e-28  -1.29925e-28
30  -2.6965e-28  -1.59856e-28
31  -3.26745e-28  -1.96568e-28
32  -3.95775e-28  -2.41575e-28
33  -4.79201e-28  -2.9672e-28
34  -5.79987e-28  -3.64251e-28
35  -7.01695e-28  -4.46906e-28
36  -8.48612e-28  -5.48021e-28
37  -1.02589e-27  -6.71655e-28
38  -1.23971e-27  -8.22744e-28
39  -1.49751e-27  -1.00729e-27
40  -1.80822e-27  -1.2326e-27
41  -2.18253e-27  -1.50753e-27
42  -2.63329e-27  -1.84284e-27
43  -3.17589e-27  -2.2516e-27
44  -3.82879e-27  -2.74966e-27
45  -4.61409e-27  -3.35622e-27
46  -5.55826e-27  -4.09458e-27
47  -6.69298e-27  -4.99296e-27
48  -8.05617e-27  -6.08549e-27
49  -9.69314e-27  -7.41355e-27
50  -1.16581e-26  -9.02713e-27
51  -1.40158e-26  -1.09867e-26
52  -1.68436e-26  -1.33654e-26
53  -2.02338e-26  -1.62516e-26
54  -2.42967e-26  -1.97519e-26
55  -2.91636e-26  -2.3995e-26
56  -3.49914e-26  -2.91363e-26
57  -4.19668e-26  -3.53631e-26
58  -5.03124e-26  -4.29014e-26
59  -6.02931e-26  -5.20232e-26
60  -7.22245e-26  -6.30564e-26
61  -8.64818e-26  -7.63956e-26
62  -1.03511e-25  -9.25157e-26
63  -1.23843e-25  -1.11988e-25
64  -1.48108e-25  -1.355e-25
65  -1.77055e-25  -1.63876e-25
66  -2.11571e-25  -1.98109e-25
67  -2.52712e-25  -2.3939e-25
68  -3.01727e-25  -2.89148e-25
69  -3.60099e-25  -3.49099e-25
70  -4.29584e-25  -4.21301e-25
71  -5.12263e-25  -5.08221e-25
72  -6.10596e-25  -6.12813e-25
73  -7.27499e-25  -7.3862e-25
74  -8.66416e-25  -8.8988e-25
75  -1.03142e-24  -1.07167e-24
76  -1.22732e-24  -1.29005e-24
77  -1.45981e-24  -1.5523e-24
78  -1.73559e-24  -1.86708e-24
79  -2.06257e-24  -2.24476e-24
80  -2.45009e-24  -2.69773e-24
81  -2.90915e-24  -3.24078e-24
82  -3.4527e-24  -3.89154e-24
83  -4.09601e-24  -4.67107e-24
84  -4.85702e-24  -5.60447e-24
85  -5.75686e-24  -6.72166e-24
86  -6.82035e-24  -8.05827e-24
87  -8.07667e-24  -9.65676e-24
88  -9.56007e-24  -1.15677e-23
89  -1.13108e-23  -1.38511e-23
90  -1.33759e-23  -1.65787e-23
91  -1.58108e-23  -1.98354e-23
92  -1.86803e-23  -2.37224e-23
93  -2.20603e-23  -2.83597e-23
94  -2.60395e-23  -3.38901e-23
95  -3.0722e-23  -4.04827e-23
96  -3.62291e-23  -4.83387e-23
97  -4.27029e-23  -5.76962e-23
98  -5.03091e-23  -6.88379e-23
99  -5.9241e-23  -8.20986e-23
100  -6.97244e-23  -9.78752e-23
101  -8.20222e-23  -1.16638e-22
102  -9.64405e-23  -1.38942e-22
103  -1.13336e-22  -1.65446e-22
104  -1.33123e-22  -1.96929e-22
105  -1.56285e-22  -2.3431e-22
106  -1.8338e-22  -2.78678e-22
107  -2.15059e-22  -3.31318e-22
