#tstp   Ax    Ay
-1  0  0
0  -5.80888e-31  -3.60927e-31
1  -7.14242e-31  -4.4819e-31
2  -8.7785e-31  -5.56218e-31
3  -1.07849e-30  -6.89875e-31
4  -1.32445e-30  -8.5515e-31
5  -1.62584e-30  -1.05941e-30
6  -1.995e-30  -1.31172e-30
7  -2.44699e-30  -1.62321e-30
8  -3.00016e-30  -2.00755e-30
9  -3.67691e-30  -2.48154e-30
10  -4.50448e-30  -3.06579e-30
11  -5.51611e-30  -3.78557e-30
12  -6.75221e-30  -4.67187e-30
13  -8.26201e-30  -5.76266e-30
14  -1.01053e-29  -7.10445e-30
15  -1.2355e-29  -8.75417e-30
16  -1.50995e-29  -1.07815e-29
17  -1.84463e-29  -1.32717e-29
18  -2.2526e-29  -1.63289e-29
19  -2.7497e-29  -2.00803e-29
20  -3.35518e-29  -2.46816e-29
21  -4.09236e-29  -3.03225e-29
22  -4.98954e-29  -3.72346e-29
23  -6.08101e-29  -4.57005e-29
24  -7.40833e-29  -5.60647e-29
25  -9.02181e-29  -6.87468e-29
26  -1.09824e-28  -8.42582e-29
27  -1.33638e-28  -1.03222e-28
28  -1.62552e-28  -1.26394e-28
29  -1.97644e-28  -1.54698e-28
30  -2.40219e-28  -1.89254e-28
31  -2.9185e-28  -2.31424e-28
32  -3.54439e-28  -2.82862e-28
33  -4.30284e-28  -3.45579e-28
34  -5.22155e-28  -4.22012e-28
35  -6.33394e-28  -5.15123e-28
36  -7.68031e-28  -6.28499e-28
37  -9.30926e-28  -7.66493e-28
38  -1.12793e-27  -9.34376e-28
39  -1.36609e-27  -1.13853e-27
40  -1.6539e-27  -1.3867e-27
41  -2.00157e-27  -1.68823e-27
42  -2.42137e-27  -2.05444e-27
43  -2.92809e-27  -2.49903e-27
44  -3.53947e-27  -3.03852e-27
45  -4.27684e-27  -3.69292e-27
46  -5.16583e-27  -4.48636e-27
47  -6.23717e-27  -5.44798e-27
48  -7.52777e-27  -6.61294e-27
49  -9.0819e-27  -8.02365e-27
50  -1.09526e-26  -9.73124e-27
51  -1.32036e-26  -1.17973e-26
52  -1.59109e-26  -1.42962e-26
53  -1.91659e-26  -1.73172e-26
54  -2.30778e-26  -2.09679e-26
55  -2.77774e-26  -2.53778e-26
56  -3.3421e-26  -3.07026e-26
57  -4.01955e-26  -3.71296e-26
58  -4.83244e-26  -4.48836e-26
59  -5.80746e-26  -5.42348e-26
60  -6.97648e-26  -6.55078e-26
61  -8.37755e-26  -7.9092e-26
62  -1.00561e-25  -9.54546e-26
63  -1.20661e-25  -1.15156e-25
64  -1.44723e-25  -1.38868e-25
65  -1.73516e-25  -1.67395e-25
66  -2.07955e-25  -2.01701e-25
67  -2.49131e-25  -2.42942e-25
68  -2.98344e-25  -2.92498e-25
69  -3.57137e-25  -3.52022e-25
70  -4.27347e-25  -4.23491e-25
71  -5.11158e-25  -5.09269e-25
72  -6.11165e-25  -6.12178e-25
73  -7.30449e-25  -7.35591e-25
74  -8.72667e-25  -8.83534e-25
75  -1.04216e-24  -1.06081e-24
76  -1.24408e-24  -1.27316e-24
77  -1.48453e-24  -1.52742e-24
78  -1.77075e-24  -1.83173e-24
79  -2.1113e-24  -2.19581e-24
80  -2.51635e-24  -2.63121e-24
81  -2.99789e-24  -3.15173e-24
82  -3.57015e-24  -3.77373e-24
83  -4.24993e-24  -4.51672e-24
84  -5.0571e-24  -5.40388e-24
85  -6.01515e-24  -6.46277e-24
86  -7.15178e-24  -7.72613e-24
87  -8.49973e-24  -9.23286e-24
88  -1.00976e-23  -1.10291e-23
89  -1.1991e-23  -1.31697e-23
90  -1.42336e-23  -1.57197e-23
91  -1.68886e-23  -1.87561e-23
92  -2.00306e-23  -2.23702e-23
93  -2.37474e-23  -2.66704e-23
94  -2.81421e-23  -3.17849e-23
95  -3.33362e-23  -3.78655e-23
96  -3.94725e-23  -4.50917e-23
97  -4.67187e-23  -5.36762e-23
98  -5.52719e-23  -6.38701e-23
99  -6.53635e-23  -7.59704e-23
100  -7.72648e-23  -9.03281e-23
101  -9.12942e-23  -1.07358e-22
102  -1.07825e-22  -1.27548e-22
103  -1.27295e-22  -1.51477e-22
104  -1.50215e-22  -1.79825e-22
105  -1.77186e-22  -2.13395e-22
106  -2.08908e-22  -2.53133e-22
107  -2.46203e-22  -3.00155e-22
108  -2.90028e-22  -3.55772e-22
109  -3.41504e-22  -4.21532e-22
110  -4.01938e-22  -4.99251e-22
111  -4.72856e-22  -5.91069e-22
112  -5.56038e-22  -6.99501e-22
113  -6.53558e-22  -8.27501e-22
114  -7.67835e-22  -9.78541e-22
115  -9.01683e-22  -1.1567e-21
116  -1.05838e-21  -1.36675e-21
117  -1.24173e-21  -1.61432e-21
118  -1.45617e-21  -1.90599e-21
119  -1.70685e-21  -2.24947e-21
120  -1.99974e-21  -2.6538e-21
121  -2.34178e-21  -3.12958e-21
122  -2.74102e-21  -3.68921e-21
123  -3.20678e-21  -4.34719e-21
124  -3.74986e-21  -5.1205e-21
125  -4.38278e-21  -6.02898e-21
126  -5.12e-21  -7.09584e-21
127  -5.97825e-21  -8.34816e-21
128  -6.97688e-21  -9.81761e-21
129  -8.13821e-21  -1.15411e-20
130  -9.48799e-21  -1.35618e-20
131  -1.1056e-20  -1.59298e-20
132  -1.28763e-20  -1.87039e-20
133  -1.49885e-20  -2.19522e-20
134  -1.74379e-20  -2.57544e-20
135  -2.02767e-20  -3.02029e-20
136  -2.35648e-20  -3.54055e-20
137  -2.73711e-20  -4.14874e-20
138  -3.17744e-20  -4.85945e-20
139  -3.68652e-20  -5.68958e-20
140  -4.27472e-20  -6.65882e-20
141  -4.95391e-20  -7.78998e-20
142  -5.73762e-20  -9.10956e-20
143  -6.64136e-20  -1.06483e-19
144  -7.68278e-20  -1.24418e-19
145  -8.88205e-20  -1.45314e-19
146  -1.02621e-19  -1.6965e-19
147  -1.1849e-19  -1.97978e-19
148  -1.36725e-19  -2.3094e-19
149  -1.57661e-19  -2.69277e-19
150  -1.81682e-19  -3.13847e-19
151  -2.09219e-19  -3.6564e-19
152  -2.40761e-19  -4.25799e-19
153  -2.7686e-19  -4.95647e-19
154  -3.1814e-19  -5.76706e-19
155  -3.65302e-19  -6.70734e-19
156  -4.19134e-19  -7.79757e-19
157  -4.80522e-19  -9.06111e-19
158  -5.50458e-19  -1.05248e-18
159  -6.30051e-19  -1.22197e-18
160  -7.20542e-19  -1.41812e-18
161  -8.23308e-19  -1.64504e-18
162  -9.39884e-19  -1.90743e-18
163  -1.07197e-18  -2.21068e-18
164  -1.22144e-18  -2.56101e-18
165  -1.39037e-18  -2.96552e-18
166  -1.58104e-18  -3.43237e-18
167  -1.79593e-18  -3.97091e-18
168  -2.03775e-18  -4.59184e-18
169  -2.30947e-18  -5.30744e-18
170  -2.61424e-18  -6.13171e-18
171  -2.9555e-18  -7.0807e-18
172  -3.33689e-18  -8.17272e-18
173  -3.76225e-18  -9.42871e-18
174  -4.23562e-18  -1.08725e-17
175  -4.76118e-18  -1.25315e-17
176  -5.34319e-18  -1.44365e-17
177  -5.98595e-18  -1.66231e-17
178  -6.69363e-18  -1.91315e-17
179  -7.47018e-18  -2.20075e-17
180  -8.31917e-18  -2.53031e-17
181  -9.24351e-18  -2.90777e-17
182  -1.02452e-17  -3.33983e-17
183  -1.1325e-17  -3.83412e-17
184  -1.24821e-17  -4.39928e-17
185  -1.3713e-17  -5.04511e-17
186  -1.50119e-17  -5.78267e-17
187  -1.63688e-17  -6.62452e-17
188  -1.77692e-17  -7.58481e-17
189  -1.91926e-17  -8.67955e-17
190  -2.06112e-17  -9.92678e-17
191  -2.1988e-17  -1.13469e-16
192  -2.32746e-17  -1.29627e-16
193  -2.44089e-17  -1.48001e-16
194  -2.53121e-17  -1.68881e-16
