#tstp   Ax    Ay
-1  0  0
0  -8.67056e-31  1.69647e-31
1  -1.06299e-30  1.96968e-31
2  -1.30269e-30  2.27934e-31
3  -1.59582e-30  2.62803e-31
4  -1.95414e-30  3.01773e-31
5  -2.39199e-30  3.44934e-31
6  -2.92679e-30  3.9222e-31
7  -3.57977e-30  4.43332e-31
8  -4.37673e-30  4.97644e-31
9  -5.34902e-30  5.54072e-31
10  -6.53477e-30  6.10912e-31
11  -7.98025e-30  6.65616e-31
12  -9.74168e-30  7.14516e-31
13  -1.18873e-29  7.52457e-31
14  -1.44998e-29  7.72335e-31
15  -1.76796e-29  7.64497e-31
16  -2.15483e-29  7.15987e-31
17  -2.62535e-29  6.09577e-31
18  -3.19736e-29  4.22546e-31
19  -3.89248e-29  1.25132e-31
20  -4.73689e-29  -3.21417e-31
21  -5.76224e-29  -9.67299e-31
22  -7.00681e-29  -1.87724e-30
23  -8.51689e-29  -3.13437e-30
24  -1.03484e-28  -4.84504e-30
25  -1.25689e-28  -7.1449e-30
26  -1.52598e-28  -1.02064e-29
27  -1.85197e-28  -1.42483e-29
28  -2.24673e-28  -1.95472e-29
29  -2.72457e-28  -2.64522e-29
30  -3.30275e-28  -3.54028e-29
31  -4.00206e-28  -4.69513e-29
32  -4.84756e-28  -6.17906e-29
33  -5.86939e-28  -8.0788e-29
34  -7.10384e-28  -1.05028e-28
35  -8.59456e-28  -1.35863e-28
36  -1.0394e-27  -1.7498e-28
37  -1.25654e-27  -2.24477e-28
38  -1.51843e-27  -2.86961e-28
39  -1.8342e-27  -3.65668e-28
40  -2.21476e-27  -4.64611e-28
41  -2.67322e-27  -5.88755e-28
42  -3.22532e-27  -7.44243e-28
43  -3.88992e-27  -9.38663e-28
44  -4.68961e-27  -1.18138e-27
45  -5.65147e-27  -1.48394e-27
46  -6.80791e-27  -1.86056e-27
47  -8.19775e-27  -2.32873e-27
48  -9.86741e-27  -2.90997e-27
49  -1.18724e-26  -3.63069e-27
50  -1.42792e-26  -4.52331e-27
51  -1.71669e-26  -5.62758e-27
52  -2.06305e-26  -6.99221e-27
53  -2.47829e-26  -8.67681e-27
54  -2.97592e-26  -1.07543e-26
55  -3.57204e-26  -1.33138e-26
56  -4.28584e-26  -1.64643e-26
57  -5.14021e-26  -2.03385e-26
58  -6.1624e-26  -2.50986e-26
59  -7.38487e-26  -3.0942e-26
60  -8.84626e-26  -3.81094e-26
61  -1.05925e-25  -4.68935e-26
62  -1.26783e-25  -5.76504e-26
63  -1.51687e-25  -7.08131e-26
64  -1.81407e-25  -8.69074e-26
65  -2.16861e-25  -1.06572e-25
66  -2.59138e-25  -1.30581e-25
67  -3.09528e-25  -1.59873e-25
68  -3.69564e-25  -1.95587e-25
69  -4.41059e-25  -2.39102e-25
70  -5.26167e-25  -2.92084e-25
71  -6.27433e-25  -3.56552e-25
72  -7.47875e-25  -4.34945e-25
73  -8.91061e-25  -5.30212e-25
74  -1.06121e-24  -6.45911e-25
75  -1.26331e-24  -7.86339e-25
76  -1.50326e-24  -9.5668e-25
77  -1.78802e-24  -1.16318e-24
78  -2.1258e-24  -1.41337e-24
79  -2.52629e-24  -1.71632e-24
80  -3.00094e-24  -2.08295e-24
81  -3.5632e-24  -2.52638e-24
82  -4.22896e-24  -3.06241e-24
83  -5.0169e-24  -3.71003e-24
84  -5.94901e-24  -4.49204e-24
85  -7.05116e-24  -5.43581e-24
86  -8.35376e-24  -6.5742e-24
87  -9.89253e-24  -7.94663e-24
88  -1.17094e-23  -9.60035e-24
89  -1.38537e-23  -1.1592e-23
90  -1.63832e-23  -1.39893e-23
91  -1.93655e-23  -1.68737e-23
92  -2.28802e-23  -2.0342e-23
93  -2.702e-23  -2.45108e-23
94  -3.18939e-23  -2.95187e-23
95  -3.76291e-23  -3.55319e-23
96  -4.43744e-23  -4.27486e-23
97  -5.23037e-23  -5.14055e-23
98  -6.16199e-23  -6.17851e-23
99  -7.25601e-23  -7.42244e-23
100  -8.54004e-23  -8.91248e-23
101  -1.00463e-22  -1.06965e-22
102  -1.18123e-22  -1.28315e-22
103  -1.38817e-22  -1.53854e-22
104  -1.63053e-22  -1.8439e-22
105  -1.91422e-22  -2.20882e-22
106  -2.24609e-22  -2.64474e-22
107  -2.6341e-22  -3.16524e-22
108  -3.08751e-22  -3.78643e-22
109  -3.617e-22  -4.52748e-22
