#tstp   Ax    Ay
-1  0  0
0  -6.66026e-31  5.80456e-31
1  -8.22041e-31  7.02085e-31
2  -1.01413e-30  8.48755e-31
3  -1.25054e-30  1.02552e-30
4  -1.54136e-30  1.23843e-30
5  -1.89894e-30  1.49474e-30
6  -2.33843e-30  1.80309e-30
7  -2.87834e-30  2.17385e-30
8  -3.54132e-30  2.61937e-30
9  -4.35509e-30  3.15438e-30
10  -5.3535e-30  3.79648e-30
11  -6.5779e-30  4.5666e-30
12  -8.07881e-30  5.48967e-30
13  -9.91787e-30  6.59533e-30
14  -1.21703e-29  7.91881e-30
15  -1.49279e-29  9.50192e-30
16  -1.83024e-29  1.13943e-29
17  -2.24301e-29  1.36547e-29
18  -2.74771e-29  1.63528e-29
19  -3.36454e-29  1.95708e-29
20  -4.11811e-29  2.34061e-29
21  -5.03833e-29  2.79735e-29
22  -6.1616e-29  3.34083e-29
23  -7.53215e-29  3.987e-29
24  -9.20372e-29  4.75459e-29
25  -1.12416e-28  5.66564e-29
26  -1.3725e-28  6.74598e-29
27  -1.67501e-28  8.02587e-29
28  -2.04335e-28  9.54073e-29
29  -2.49167e-28  1.13319e-28
30  -3.03712e-28  1.34476e-28
31  -3.70045e-28  1.5944e-28
32  -4.50683e-28  1.88863e-28
33  -5.48669e-28  2.23502e-28
34  -6.6769e-28  2.64231e-28
35  -8.122e-28  3.12062e-28
36  -9.87589e-28  3.68158e-28
37  -1.20037e-27  4.33856e-28
38  -1.45841e-27  5.10689e-28
39  -1.77121e-27  6.00405e-28
40  -2.15023e-27  7.04993e-28
41  -2.60933e-27  8.26709e-28
42  -3.16518e-27  9.68097e-28
43  -3.83791e-27  1.13201e-27
44  -4.65178e-27  1.32165e-27
45  -5.63601e-27  1.54054e-27
46  -6.82577e-27  1.79259e-27
47  -8.26343e-27  2.08204e-27
48  -9.99994e-27  2.41347e-27
49  -1.20966e-26  2.79178e-27
50  -1.46271e-26  3.22208e-27
51  -1.768e-26  3.70959e-27
52  -2.13616e-26  4.25951e-27
53  -2.57998e-26  4.87674e-27
54  -3.1148e-26  5.56563e-27
55  -3.75899e-26  6.32948e-27
56  -4.53465e-26  7.16998e-27
57  -5.46823e-26  8.08646e-27
58  -6.59142e-26  9.07485e-27
59  -7.94223e-26  1.01264e-26
60  -9.56612e-26  1.12259e-26
61  -1.15176e-25  1.23496e-26
62  -1.38617e-25  1.34623e-26
63  -1.66764e-25  1.45141e-26
64  -2.00548e-25  1.54355e-26
65  -2.41083e-25  1.6132e-26
66  -2.89698e-25  1.64769e-26
67  -3.47981e-25  1.63026e-26
68  -4.17827e-25  1.53892e-26
69  -5.01498e-25  1.34508e-26
70  -6.0169e-25  1.01182e-26
71  -7.21619e-25  4.91769e-27
72  -8.65115e-25  -2.75567e-27
73  -1.03674e-24  -1.36706e-26
74  -1.24194e-24  -2.87998e-26
75  -1.48717e-24  -4.93701e-26
76  -1.78013e-24  -7.69229e-26
77  -2.12997e-24  -1.1339e-25
78  -2.54758e-24  -1.61183e-25
79  -3.04587e-24  -2.2331e-25
80  -3.64022e-24  -3.03511e-25
81  -4.34884e-24  -4.06422e-25
82  -5.19339e-24  -5.37787e-25
83  -6.19954e-24  -7.04701e-25
84  -7.39773e-24  -9.15918e-25
85  -8.82405e-24  -1.18222e-24
86  -1.05213e-23  -1.51685e-24
87  -1.254e-23  -1.93609e-24
88  -1.49403e-23  -2.45987e-24
89  -1.7793e-23  -3.11262e-24
90  -2.11822e-23  -3.92418e-24
91  -2.5207e-23  -4.93102e-24
92  -2.99847e-23  -6.17759e-24
93  -3.56541e-23  -7.71806e-24
94  -4.23788e-23  -9.61835e-24
95  -5.03519e-23  -1.19586e-23
96  -5.98015e-23  -1.48361e-23
97  -7.09966e-23  -1.8369e-23
98  -8.4254e-23  -2.27004e-23
99  -9.99476e-23  -2.80036e-23
100  -1.18517e-22  -3.44883e-23
101  -1.40481e-22  -4.2408e-23
102  -1.6645e-22  -5.20688e-23
103  -1.9714e-22  -6.38403e-23
104  -2.33395e-22  -7.81681e-23
105  -2.76208e-22  -9.5589e-23
106  -3.26743e-22  -1.16749e-22
107  -3.86369e-22  -1.42427e-22
108  -4.56693e-22  -1.73557e-22
109  -5.39598e-22  -2.11262e-22
110  -6.37297e-22  -2.56891e-22
111  -7.52379e-22  -3.12062e-22
112  -8.87883e-22  -3.78714e-22
113  -1.04737e-21  -4.5917e-22
114  -1.23499e-21  -5.56214e-22
115  -1.45563e-21  -6.73173e-22
116  -1.71499e-21  -8.1403e-22
117  -2.01973e-21  -9.8354e-22
118  -2.37763e-21  -1.18739e-21
119  -2.7978e-21  -1.43235e-21
120  -3.29086e-21  -1.72652e-21
121  -3.8692e-21  -2.07954e-21
122  -4.54729e-21  -2.5029e-21
123  -5.34196e-21  -3.01029e-21
124  -6.27288e-21  -3.61799e-21
125  -7.36292e-21  -4.34537e-21
126  -8.63871e-21  -5.21547e-21
127  -1.01313e-20  -6.25564e-21
128  -1.18766e-20  -7.49839e-21
129  -1.39167e-20  -8.98227e-21
130  -1.63002e-20  -1.0753e-20
131  -1.90836e-20  -1.28649e-20
132  -2.23327e-20  -1.53823e-20
133  -2.61235e-20  -1.83811e-20
134  -3.05445e-20  -2.19517e-20
135  -3.56978e-20  -2.62005e-20
136  -4.17022e-20  -3.12538e-20
137  -4.86949e-20  -3.72607e-20
138  -5.68347e-20  -4.43971e-20
139  -6.63053e-20  -5.28712e-20
140  -7.73191e-20  -6.29284e-20
141  -9.01213e-20  -7.48583e-20
142  -1.04995e-19  -8.90023e-20
143  -1.22268e-19  -1.05763e-19
144  -1.42316e-19  -1.25614e-19
145  -1.65574e-19  -1.49115e-19
146  -1.92542e-19  -1.76921e-19
147  -2.23798e-19  -2.09806e-19
148  -2.60003e-19  -2.48678e-19
149  -3.0192e-19  -2.94606e-19
150  -3.50425e-19  -3.48844e-19
151  -4.06525e-19  -4.12865e-19
152  -4.71374e-19  -4.88399e-19
153  -5.46296e-19  -5.77474e-19
154  -6.32811e-19  -6.82467e-19
155  -7.32657e-19  -8.06167e-19
156  -8.47824e-19  -9.5184e-19
157  -9.8059e-19  -1.12331e-18
158  -1.13356e-18  -1.32505e-18
159  -1.3097e-18  -1.56231e-18
160  -1.51241e-18  -1.8412e-18
161  -1.74555e-18  -2.16889e-18
162  -2.01354e-18  -2.55374e-18
163  -2.32141e-18  -3.00552e-18
164  -2.67485e-18  -3.53564e-18
165  -3.08037e-18  -4.15742e-18
166  -3.54535e-18  -4.88637e-18
167  -4.07815e-18  -5.7406e-18
168  -4.68828e-18  -6.74121e-18
169  -5.38647e-18  -7.91277e-18
170  -6.18491e-18  -9.28389e-18
171  -7.09733e-18  -1.08879e-17
172  -8.13929e-18  -1.27635e-17
173  -9.32829e-18  -1.49558e-17
174  -1.06841e-17  -1.75172e-17
175  -1.22289e-17  -2.05085e-17
176  -1.39877e-17  -2.40005e-17
177  -1.59885e-17  -2.80752e-17
178  -1.82628e-17  -3.28278e-17
179  -2.08458e-17  -3.83688e-17
180  -2.37768e-17  -4.48264e-17
181  -2.70997e-17  -5.2349e-17
182  -3.08635e-17  -6.11086e-17
183  -3.51226e-17  -7.13044e-17
184  -3.99375e-17  -8.31671e-17
185  -4.53751e-17  -9.69634e-17
186  -5.15095e-17  -1.13002e-16
187  -5.84224e-17  -1.31639e-16
188  -6.62037e-17  -1.53288e-16
189  -7.4952e-17  -1.78425e-16
190  -8.47753e-17  -2.07599e-16
191  -9.57913e-17  -2.41445e-16
192  -1.08128e-16  -2.80696e-16
193  -1.21924e-16  -3.26197e-16
194  -1.37328e-16  -3.7892e-16
195  -1.54501e-16  -4.39988e-16
196  -1.73613e-16  -5.10694e-16
197  -1.94844e-16  -5.92525e-16
198  -2.18384e-16  -6.87194e-16
199  -2.44432e-16  -7.9667e-16
200  -2.73189e-16  -9.23219e-16
201  -3.04863e-16  -1.06945e-15
202  -3.39658e-16  -1.23834e-15
203  -3.77774e-16  -1.43334e-15
204  -4.194e-16  -1.6584e-15
205  -4.64704e-16  -1.91803e-15
206  -5.13825e-16  -2.21743e-15
207  -5.6686e-16  -2.56256e-15
208  -6.23848e-16  -2.96024e-15
209  -6.84754e-16  -3.41829e-15
210  -7.49441e-16  -3.94567e-15
211  -8.17648e-16  -4.55264e-15
212  -8.88951e-16  -5.25091e-15
213  -9.62726e-16  -6.05391e-15
214  -1.0381e-15  -6.97698e-15
215  -1.11388e-15  -8.03766e-15
216  -1.18851e-15  -9.25598e-15
217  -1.25996e-15  -1.06548e-14
218  -1.32563e-15  -1.22602e-14
219  -1.38227e-15  -1.41021e-14
220  -1.42576e-15  -1.62143e-14
221  -1.45104e-15  -1.86357e-14
222  -1.45184e-15  -2.14103e-14
223  -1.4205e-15  -2.45884e-14
224  -1.34767e-15  -2.82273e-14
225  -1.222e-15  -3.23922e-14
226  -1.02978e-15  -3.71571e-14
227  -7.54523e-16  -4.26064e-14
228  -3.76402e-16  -4.88358e-14
229  1.28284e-16  -5.59544e-14
230  7.87823e-16  -6.40857e-14
231  1.63589e-15  -7.337e-14
232  2.71246e-15  -8.39669e-14
233  4.06494e-15  -9.60569e-14
234  5.74935e-15  -1.09845e-13
235  7.83185e-15  -1.25563e-13
236  1.03904e-14  -1.43475e-13
237  1.35166e-14  -1.63878e-13
238  1.73182e-14  -1.8711e-13
239  2.19215e-14  -2.13552e-13
240  2.74744e-14  -2.43636e-13
241  3.41497e-14  -2.77849e-13
242  4.21496e-14  -3.16744e-13
243  5.17096e-14  -3.60942e-13
244  6.31042e-14  -4.11147e-13
245  7.6653e-14  -4.68152e-13
246  9.27274e-14  -5.32852e-13
247  1.11759e-13  -6.06257e-13
248  1.34248e-13  -6.89504e-13
249  1.60774e-13  -7.83873e-13
250  1.92009e-13  -8.90809e-13
251  2.28731e-13  -1.01193e-12
252  2.71836e-13  -1.14908e-12
253  3.22361e-13  -1.30429e-12
254  3.81504e-13  -1.47989e-12
255  4.50643e-13  -1.67847e-12
256  5.31367e-13  -1.90293e-12
257  6.25503e-13  -2.15656e-12
258  7.35157e-13  -2.44303e-12
259  8.62743e-13  -2.76645e-12
260  1.01104e-12  -3.13143e-12
261  1.18323e-12  -3.54316e-12
262  1.38296e-12  -4.00742e-12
263  1.61443e-12  -4.53069e-12
264  1.88241e-12  -5.12024e-12
265  2.19241e-12  -5.78418e-12
266  2.55069e-12  -6.53157e-12
267  2.96443e-12  -7.37256e-12
268  3.4418e-12  -8.31847e-12
269  3.99216e-12  -9.38193e-12
270  4.62617e-12  -1.0577e-11
271  5.35598e-12  -1.19195e-11
272  6.19545e-12  -1.34269e-11
273  7.16035e-12  -1.51188e-11
274  8.26861e-12  -1.70168e-11
275  9.54066e-12  -1.91452e-11
276  1.09997e-11  -2.15309e-11
277  1.26721e-11  -2.42039e-11
278  1.45877e-11  -2.71974e-11
279  1.67806e-11  -3.05484e-11
280  1.92892e-11  -3.42978e-11
281  2.21572e-11  -3.84914e-11
282  2.54341e-11  -4.31794e-11
283  2.91759e-11  -4.84179e-11
284  3.34459e-11  -5.42688e-11
285  3.83159e-11  -6.08009e-11
286  4.38669e-11  -6.80901e-11
287  5.01904e-11  -7.62203e-11
288  5.739e-11  -8.52845e-11
289  6.55824e-11  -9.53851e-11
290  7.48992e-11  -1.06636e-10
291  8.5489e-11  -1.19161e-10
292  9.75193e-11  -1.33099e-10
293  1.11179e-10  -1.48601e-10
294  1.26679e-10  -1.65835e-10
295  1.4426e-10  -1.84986e-10
296  1.6419e-10  -2.06255e-10
297  1.86771e-10  -2.29866e-10
298  2.12344e-10  -2.56063e-10
299  2.41288e-10  -2.85115e-10
300  2.74033e-10  -3.17317e-10
301  3.1106e-10  -3.52993e-10
302  3.52907e-10  -3.92497e-10
303  4.00178e-10  -4.36217e-10
304  4.53552e-10  -4.84578e-10
305  5.13785e-10  -5.38044e-10
306  5.81728e-10  -5.97123e-10
307  6.5833e-10  -6.62368e-10
308  7.44654e-10  -7.34385e-10
309  8.41889e-10  -8.13831e-10
310  9.51362e-10  -9.01426e-10
311  1.07455e-09  -9.97949e-10
312  1.21312e-09  -1.10425e-09
313  1.36892e-09  -1.22125e-09
314  1.544e-09  -1.34996e-09
315  1.74066e-09  -1.49145e-09
