#tstp   Ax    Ay
159  1.78538e-19  -2.03071e-18
160  2.32394e-19  -2.37123e-18
161  2.9923e-19  -2.76778e-18
162  3.81843e-19  -3.22938e-18
163  4.83592e-19  -3.7665e-18
164  6.085e-19  -4.39124e-18
165  7.61388e-19  -5.1176e-18
166  9.48016e-19  -5.96179e-18
167  1.17526e-18  -6.94251e-18
168  1.45134e-18  -8.0814e-18
169  1.78601e-18  -9.40344e-18
170  2.19091e-18  -1.09375e-17
171  2.67987e-18  -1.27167e-17
172  3.2693e-18  -1.47796e-17
173  3.97867e-18  -1.71704e-17
174  4.83106e-18  -1.99401e-17
175  5.8538e-18  -2.31475e-17
176  7.07921e-18  -2.68601e-17
177  8.5455e-18  -3.11558e-17
178  1.02978e-17  -3.61243e-17
179  1.23893e-17  -4.18684e-17
180  1.48828e-17  -4.85067e-17
181  1.78522e-17  -5.61751e-17
182  2.13845e-17  -6.50299e-17
183  2.55821e-17  -7.52504e-17
184  3.05654e-17  -8.70424e-17
185  3.64755e-17  -1.00642e-16
186  4.34784e-17  -1.16319e-16
187  5.17685e-17  -1.34385e-16
188  6.15739e-17  -1.55194e-16
189  7.31615e-17  -1.79152e-16
190  8.68439e-17  -2.06725e-16
191  1.02987e-16  -2.38445e-16
192  1.22017e-16  -2.74921e-16
193  1.44435e-16  -3.16847e-16
194  1.70823e-16  -3.65016e-16
195  2.0186e-16  -4.20337e-16
196  2.38342e-16  -4.83843e-16
197  2.81191e-16  -5.56713e-16
198  3.31484e-16  -6.40293e-16
199  3.90476e-16  -7.36115e-16
200  4.59624e-16  -8.45925e-16
201  5.40623e-16  -9.71709e-16
202  6.35445e-16  -1.11573e-15
203  7.46377e-16  -1.28055e-15
204  8.76076e-16  -1.46911e-15
205  1.02763e-15  -1.68471e-15
206  1.2046e-15  -1.93113e-15
207  1.41114e-15  -2.21265e-15
208  1.65204e-15  -2.53413e-15
209  1.93286e-15  -2.90105e-15
210  2.26003e-15  -3.31967e-15
211  2.64099e-15  -3.79705e-15
212  3.08432e-15  -4.34117e-15
213  3.59995e-15  -4.96109e-15
214  4.19937e-15  -5.66704e-15
215  4.89579e-15  -6.47056e-15
216  5.70449e-15  -7.38473e-15
217  6.64308e-15  -8.42427e-15
218  7.73186e-15  -9.60581e-15
219  8.99419e-15  -1.09481e-14
220  1.0457e-14  -1.24723e-14
221  1.21513e-14  -1.42021e-14
222  1.41127e-14  -1.61645e-14
223  1.63821e-14  -1.83894e-14
224  1.90067e-14  -2.09107e-14
225  2.20406e-14  -2.37666e-14
226  2.55458e-14  -2.69996e-14
227  2.95937e-14  -3.06578e-14
228  3.4266e-14  -3.47949e-14
229  3.96565e-14  -3.94711e-14
230  4.58726e-14  -4.47539e-14
231  5.30374e-14  -5.07186e-14
232  6.12918e-14  -5.74497e-14
233  7.07972e-14  -6.50414e-14
234  8.1738e-14  -7.3599e-14
235  9.43253e-14  -8.324e-14
236  1.088e-13  -9.40951e-14
237  1.25438e-13  -1.0631e-13
238  1.44554e-13  -1.20048e-13
239  1.66507e-13  -1.35488e-13
240  1.91706e-13  -1.52832e-13
241  2.20619e-13  -1.72302e-13
242  2.53779e-13  -1.94145e-13
243  2.91793e-13  -2.18635e-13
244  3.35351e-13  -2.46075e-13
245  3.85241e-13  -2.76799e-13
246  4.42359e-13  -3.11178e-13
247  5.07722e-13  -3.49621e-13
248  5.8249e-13  -3.92577e-13
249  6.67978e-13  -4.40543e-13
250  7.65682e-13  -4.94064e-13
251  8.773e-13  -5.53739e-13
252  1.00476e-12  -6.20224e-13
253  1.15024e-12  -6.9424e-13
254  1.31623e-12  -7.76574e-13
255  1.50554e-12  -8.68085e-13
256  1.72135e-12  -9.69711e-13
257  1.96726e-12  -1.08247e-12
258  2.24737e-12  -1.20748e-12
259  2.56629e-12  -1.34593e-12
260  2.92924e-12  -1.49913e-12
261  3.34214e-12  -1.66848e-12
262  3.81167e-12  -1.85549e-12
263  4.34537e-12  -2.0618e-12
264  4.95176e-12  -2.28913e-12
265  5.64046e-12  -2.53936e-12
266  6.42231e-12  -2.81445e-12
267  7.30956e-12  -3.11651e-12
268  8.31601e-12  -3.44774e-12
269  9.45719e-12  -3.81049e-12
270  1.07506e-11  -4.20717e-12
271  1.2216e-11  -4.6403e-12
272  1.38756e-11  -5.1125e-12
273  1.57542e-11  -5.62641e-12
274  1.78801e-11  -6.18472e-12
275  2.02846e-11  -6.7901e-12
276  2.30034e-11  -7.4452e-12
277  2.60761e-11  -8.15254e-12
278  2.95475e-11  -8.91448e-12
279  3.34678e-11  -9.73315e-12
280  3.78931e-11  -1.06103e-11
281  4.28866e-11  -1.15473e-11
282  4.85188e-11  -1.25448e-11
283  5.48691e-11  -1.36027e-11
284  6.2026e-11  -1.47202e-11
285  7.00888e-11  -1.5895e-11
286  7.91685e-11  -1.71236e-11
287  8.93893e-11  -1.84005e-11
288  1.0089e-10  -1.97183e-11
289  1.13826e-10  -2.1067e-11
290  1.2837e-10  -2.24335e-11
291  1.44715e-10  -2.38012e-11
292  1.63078e-10  -2.51491e-11
293  1.837e-10  -2.64513e-11
294  2.06848e-10  -2.7676e-11
295  2.32822e-10  -2.87845e-11
296  2.61955e-10  -2.97299e-11
297  2.9462e-10  -3.04561e-11
298  3.31228e-10  -3.0896e-11
299  3.7224e-10  -3.097e-11
300  4.18167e-10  -3.05838e-11
301  4.69578e-10  -2.96262e-11
302  5.27104e-10  -2.79667e-11
303  5.91448e-10  -2.54524e-11
304  6.63389e-10  -2.19047e-11
305  7.4379e-10  -1.71157e-11
306  8.33613e-10  -1.08437e-11
307  9.33919e-10  -2.80863e-12
308  1.04589e-09  7.31365e-12
309  1.17083e-09  1.98974e-11
310  1.31018e-09  3.53738e-11
311  1.46555e-09  5.42393e-11
312  1.63871e-09  7.70639e-11
313  1.83162e-09  1.04502e-10
314  2.04644e-09  1.37301e-10
315  2.28557e-09  1.76319e-10
316  2.55164e-09  2.22534e-10
317  2.84758e-09  2.77061e-10
318  3.1766e-09  3.41173e-10
319  3.54227e-09  4.16316e-10
320  3.94848e-09  5.04135e-10
321  4.39956e-09  6.06498e-10
322  4.90026e-09  7.25525e-10
323  5.45581e-09  8.63616e-10
324  6.07197e-09  1.02349e-09
325  6.75507e-09  1.20822e-09
326  7.51207e-09  1.42128e-09
327  8.35064e-09  1.6666e-09
328  9.27917e-09  1.94859e-09
329  1.03069e-08  2.27225e-09
330  1.14439e-08  2.64319e-09
331  1.27014e-08  3.06772e-09
332  1.40915e-08  3.55296e-09
333  1.56276e-08  4.10689e-09
334  1.73242e-08  4.73846e-09
335  1.91975e-08  5.45772e-09
336  2.12649e-08  6.27594e-09
337  2.35455e-08  7.20575e-09
338  2.60604e-08  8.26127e-09
339  2.88324e-08  9.45831e-09
340  3.18865e-08  1.08145e-08
341  3.525e-08  1.23497e-08
342  3.89527e-08  1.40857e-08
343  4.3027e-08  1.60474e-08
344  4.75084e-08  1.82619e-08
345  5.24354e-08  2.076e-08
346  5.785e-08  2.35755e-08
347  6.37978e-08  2.67463e-08
348  7.03286e-08  3.03146e-08
349  7.74964e-08  3.43271e-08
350  8.53598e-08  3.88358e-08
351  9.39827e-08  4.38985e-08
352  1.03434e-07  4.9579e-08
353  1.13789e-07  5.59486e-08
354  1.2513e-07  6.30858e-08
355  1.37543e-07  7.10779e-08
356  1.51125e-07  8.00214e-08
357  1.65979e-07  9.00231e-08
358  1.82217e-07  1.01201e-07
359  1.9996e-07  1.13686e-07
360  2.19338e-07  1.27622e-07
361  2.40492e-07  1.43169e-07
362  2.63575e-07  1.60501e-07
363  2.8875e-07  1.79814e-07
364  3.16195e-07  2.0132e-07
365  3.461e-07  2.25255e-07
366  3.7867e-07  2.51879e-07
367  4.14126e-07  2.81476e-07
368  4.52705e-07  3.14361e-07
369  4.94661e-07  3.50878e-07
370  5.40269e-07  3.91408e-07
371  5.89822e-07  4.36366e-07
372  6.43634e-07  4.86211e-07
373  7.02043e-07  5.41444e-07
374  7.6541e-07  6.02616e-07
375  8.3412e-07  6.7033e-07
376  9.08587e-07  7.45248e-07
377  9.8925e-07  8.28094e-07
378  1.07658e-06  9.19662e-07
379  1.17108e-06  1.02082e-06
380  1.27328e-06  1.13251e-06
381  1.38376e-06  1.25578e-06
382  1.50311e-06  1.39175e-06
383  1.63199e-06  1.54167e-06
384  1.77106e-06  1.70688e-06
385  1.92107e-06  1.88886e-06
386  2.08276e-06  2.08921e-06
387  2.25696e-06  2.30969e-06
388  2.44453e-06  2.5522e-06
389  2.64637e-06  2.81882e-06
390  2.86344e-06  3.1118e-06
391  3.09674e-06  3.43362e-06
392  3.34733e-06  3.78693e-06
393  3.61634e-06  4.17466e-06
394  3.90493e-06  4.59994e-06
395  4.21432e-06  5.06622e-06
396  4.54581e-06  5.57721e-06
397  4.90072e-06  6.13694e-06
398  5.28047e-06  6.7498e-06
399  5.6865e-06  7.42052e-06
400  6.12033e-06  8.15425e-06
401  6.58353e-06  8.95653e-06
402  7.07772e-06  9.8334e-06
403  7.60459e-06  1.07914e-05
404  8.16586e-06  1.18375e-05
405  8.76331e-06  1.29793e-05
406  9.39875e-06  1.42251e-05
407  1.00741e-05  1.55838e-05
408  1.07911e-05  1.70649e-05
409  1.15518e-05  1.86787e-05
410  1.23581e-05  2.04364e-05
411  1.32119e-05  2.23501e-05
412  1.41152e-05  2.44325e-05
413  1.50698e-05  2.66978e-05
414  1.60777e-05  2.91608e-05
415  1.71408e-05  3.18377e-05
416  1.82607e-05  3.47458e-05
417  1.94392e-05  3.79038e-05
418  2.06778e-05  4.13316e-05
419  2.19781e-05  4.50508e-05
420  2.33412e-05  4.90844e-05
421  2.47683e-05  5.34572e-05
422  2.62602e-05  5.81957e-05
423  2.78174e-05  6.33283e-05
