#tstp   Ax    Ay
-1  0  0
0  -8.35757e-31  -2.86618e-31
1  -1.01911e-30  -3.60927e-31
2  -1.24219e-30  -4.53963e-31
3  -1.5135e-30  -5.70331e-31
4  -1.84332e-30  -7.15746e-31
5  -2.24411e-30  -8.97292e-31
6  -2.73093e-30  -1.12375e-30
7  -3.32201e-30  -1.40598e-30
8  -4.03939e-30  -1.75742e-30
9  -4.90968e-30  -2.1947e-30
10  -5.96504e-30  -2.73835e-30
11  -7.24429e-30  -3.41372e-30
12  -8.79426e-30  -4.25209e-30
13  -1.06715e-29  -5.29204e-30
14  -1.2944e-29  -6.58108e-30
15  -1.56941e-29  -8.17778e-30
16  -1.90204e-29  -1.01542e-29
17  -2.30422e-29  -1.25989e-29
18  -2.79027e-29  -1.56209e-29
19  -3.37743e-29  -1.93541e-29
20  -4.08642e-29  -2.39628e-29
21  -4.94216e-29  -2.96489e-29
22  -5.97455e-29  -3.66598e-29
23  -7.21953e-29  -4.52988e-29
24  -8.72021e-29  -5.59377e-29
25  -1.05283e-28  -6.90317e-29
26  -1.27058e-28  -8.51378e-29
27  -1.5327e-28  -1.04938e-28
28  -1.84809e-28  -1.29264e-28
29  -2.22741e-28  -1.59136e-28
30  -2.68341e-28  -1.95796e-28
31  -3.23132e-28  -2.40762e-28
32  -3.88939e-28  -2.95888e-28
33  -4.67938e-28  -3.63431e-28
34  -5.6273e-28  -4.46144e-28
35  -6.7642e-28  -5.47383e-28
36  -8.12709e-28  -6.71232e-28
37  -9.76013e-28  -8.22661e-28
38  -1.17159e-27  -1.00772e-27
39  -1.40571e-27  -1.23376e-27
40  -1.68583e-27  -1.50972e-27
41  -2.02083e-27  -1.84646e-27
42  -2.42124e-27  -2.25716e-27
43  -2.89962e-27  -2.75782e-27
44  -3.47085e-27  -3.36786e-27
45  -4.15261e-27  -4.11079e-27
46  -4.96587e-27  -5.01516e-27
47  -5.93548e-27  -6.11551e-27
48  -7.09091e-27  -7.45368e-27
49  -8.46704e-27  -9.08031e-27
50  -1.01051e-26  -1.10567e-26
51  -1.2054e-26  -1.34568e-26
52  -1.43714e-26  -1.63704e-26
53  -1.71254e-26  -1.99054e-26
54  -2.03965e-26  -2.41926e-26
55  -2.42795e-26  -2.93897e-26
56  -2.88863e-26  -3.56869e-26
57  -3.43487e-26  -4.33138e-26
58  -4.08215e-26  -5.25468e-26
59  -4.84873e-26  -6.37195e-26
60  -5.75603e-26  -7.72332e-26
61  -6.82922e-26  -9.35714e-26
62  -8.09784e-26  -1.13316e-25
63  -9.59651e-26  -1.37166e-25
64  -1.13658e-25  -1.65964e-25
65  -1.34532e-25  -2.0072e-25
66  -1.59142e-25  -2.42649e-25
67  -1.88137e-25  -2.93211e-25
68  -2.22275e-25  -3.54156e-25
69  -2.62439e-25  -4.27586e-25
70  -3.09657e-25  -5.16022e-25
71  -3.65127e-25  -6.22483e-25
72  -4.30242e-25  -7.50591e-25
73  -5.06617e-25  -9.04682e-25
74  -5.96129e-25  -1.08995e-24
75  -7.00949e-25  -1.31261e-24
76  -8.23592e-25  -1.58009e-24
77  -9.6696e-25  -1.9013e-24
78  -1.13441e-24  -2.28685e-24
79  -1.32979e-24  -2.74944e-24
80  -1.55756e-24  -3.30425e-24
81  -1.8228e-24  -3.96939e-24
82  -2.13138e-24  -4.76646e-24
83  -2.48998e-24  -5.72126e-24
84  -2.90626e-24  -6.86451e-24
85  -3.38891e-24  -8.23287e-24
86  -3.94785e-24  -9.86999e-24
87  -4.59433e-24  -1.18279e-23
88  -5.34104e-24  -1.41684e-23
89  -6.20234e-24  -1.69653e-23
90  -7.19435e-24  -2.03061e-23
91  -8.33513e-24  -2.4295e-23
92  -9.64486e-24  -2.90559e-23
93  -1.11459e-23  -3.47358e-23
94  -1.28631e-23  -4.15095e-23
95  -1.48236e-23  -4.95844e-23
96  -1.70571e-23  -5.92065e-23
97  -1.9596e-23  -7.06679e-23
98  -2.24747e-23  -8.43145e-23
99  -2.573e-23  -1.00557e-22
100  -2.94005e-23  -1.1988e-22
101  -3.35256e-23  -1.42861e-22
102  -3.81453e-23  -1.7018e-22
103  -4.32984e-23  -2.02643e-22
104  -4.90209e-23  -2.41204e-22
105  -5.53438e-23  -2.8699e-22
