#tstp   Ax    Ay
-1  0  0
0  -1.80421e-31  8.64877e-31
1  -2.52417e-31  1.0512e-30
2  -3.47213e-31  1.27608e-30
3  -4.71241e-31  1.54712e-30
4  -6.3261e-31  1.87335e-30
5  -8.4153e-31  2.26544e-30
6  -1.11082e-30  2.736e-30
7  -1.45654e-30  3.29988e-30
8  -1.89877e-30  3.97455e-30
9  -2.46256e-30  4.78049e-30
10  -3.17915e-30  5.74166e-30
11  -4.08734e-30  6.88598e-30
12  -5.23531e-30  8.24593e-30
13  -6.68276e-30  9.85916e-30
14  -8.50358e-30  1.17691e-29
15  -1.0789e-29  1.40258e-29
16  -1.36516e-29  1.66864e-29
17  -1.72299e-29  1.98163e-29
18  -2.16945e-29  2.34892e-29
19  -2.72547e-29  2.77884e-29
20  -3.41673e-29  3.2807e-29
21  -4.27466e-29  3.86481e-29
22  -5.33773e-29  4.54251e-29
23  -6.65293e-29  5.32606e-29
24  -8.27754e-29  6.22859e-29
25  -1.02814e-28  7.26383e-29
26  -1.27495e-28  8.4458e-29
27  -1.57849e-28  9.78831e-29
28  -1.95132e-28  1.13042e-28
29  -2.4086e-28  1.30044e-28
30  -2.96874e-28  1.48963e-28
31  -3.65396e-28  1.69822e-28
32  -4.49113e-28  1.92566e-28
33  -5.51263e-28  2.17028e-28
34  -6.75748e-28  2.42887e-28
35  -8.27265e-28  2.69613e-28
36  -1.01145e-27  2.96388e-28
37  -1.23509e-27  3.22023e-28
38  -1.50628e-27  3.44829e-28
39  -1.83476e-27  3.62474e-28
40  -2.23213e-27  3.71788e-28
41  -2.71228e-27  3.68525e-28
42  -3.29173e-27  3.47058e-28
43  -3.99019e-27  3.00006e-28
44  -4.83109e-27  2.1776e-28
45  -5.84223e-27  8.78978e-29
46  -7.05662e-27  -1.05546e-28
47  -8.51331e-27  -3.8298e-28
48  -1.02585e-26  -7.70371e-28
49  -1.23466e-26  -1.30062e-27
50  -1.48421e-26  -2.01525e-27
51  -1.78204e-26  -2.96648e-27
52  -2.13703e-26  -4.21979e-27
53  -2.55962e-26  -5.85701e-27
54  -3.06197e-26  -7.98015e-27
55  -3.65835e-26  -1.0716e-26
56  -4.36536e-26  -1.42219e-26
57  -5.20231e-26  -1.86924e-26
58  -6.19165e-26  -2.43679e-26
59  -7.35935e-26  -3.15443e-26
60  -8.73543e-26  -4.05859e-26
61  -1.03545e-25  -5.19394e-26
62  -1.22563e-25  -6.61523e-26
63  -1.44863e-25  -8.38944e-26
64  -1.70966e-25  -1.05983e-25
65  -2.01463e-25  -1.33416e-25
66  -2.37025e-25  -1.67404e-25
67  -2.78407e-25  -2.09424e-25
68  -3.2646e-25  -2.61263e-25
69  -3.82131e-25  -3.25089e-25
70  -4.46473e-25  -4.03524e-25
71  -5.20646e-25  -4.99737e-25
72  -6.05917e-25  -6.17551e-25
73  -7.03657e-25  -7.61572e-25
74  -8.15332e-25  -9.37345e-25
75  -9.42486e-25  -1.15153e-24
76  -1.08671e-24  -1.41213e-24
77  -1.24962e-24  -1.72872e-24
78  -1.43276e-24  -2.11277e-24
79  -1.63759e-24  -2.57802e-24
80  -1.8653e-24  -3.14084e-24
81  -2.11673e-24  -3.82077e-24
82  -2.39216e-24  -4.64109e-24
83  -2.69107e-24  -5.62949e-24
84  -3.01182e-24  -6.81886e-24
85  -3.35125e-24  -8.24827e-24
86  -3.70419e-24  -9.96398e-24
87  -4.06278e-24  -1.20208e-23
88  -4.41572e-24  -1.44834e-23
89  -4.74717e-24  -1.74284e-23
90  -5.03557e-24  -2.09459e-23
91  -5.25203e-24  -2.51421e-23
92  -5.35837e-24  -3.01418e-23
93  -5.30478e-24  -3.60919e-23
94  -5.02683e-24  -4.31644e-23
95  -4.44187e-24  -5.15608e-23
96  -3.44463e-24  -6.1517e-23
97  -1.9018e-24  -7.33082e-23
98  3.54545e-25  -8.72557e-23
99  3.53488e-24  -1.03733e-22
100  7.90193e-24  -1.23176e-22
101  1.37824e-23  -1.46089e-22
102  2.1581e-23  -1.73056e-22
103  3.17978e-23  -2.04756e-22
104  4.50481e-23  -2.41968e-22
105  6.2088e-23  -2.85595e-22
106  8.3843e-23  -3.36674e-22
107  1.11444e-22  -3.96394e-22
108  1.4627e-22  -4.66119e-22
109  1.89997e-22  -5.4741e-22
110  2.44659e-22  -6.42044e-22
111  3.12722e-22  -7.52045e-22
112  3.97166e-22  -8.79709e-22
113  5.01587e-22  -1.02763e-21
114  6.30318e-22  -1.19875e-21
115  7.88568e-22  -1.39635e-21
116  9.82595e-22  -1.62412e-21
117  1.2199e-21  -1.88618e-21
118  1.50946e-21  -2.1871e-21
119  1.862e-21  -2.53192e-21
120  2.29033e-21  -2.9262e-21
121  2.8097e-21  -3.376e-21
122  3.43829e-21  -3.88789e-21
123  4.19766e-21  -4.46893e-21
