#tstp   Ax    Ay
-1  0  0
0  -7.04244e-31  5.33444e-31
1  -8.74627e-31  6.35379e-31
2  -1.08526e-30  7.557e-31
3  -1.34542e-30  8.97445e-31
4  -1.66651e-30  1.06409e-30
5  -2.06246e-30  1.25956e-30
6  -2.55036e-30  1.48832e-30
7  -3.15108e-30  1.75536e-30
8  -3.89012e-30  2.06621e-30
9  -4.79865e-30  2.42699e-30
10  -5.91469e-30  2.84435e-30
11  -7.2846e-30  3.32542e-30
12  -8.96486e-30  3.87771e-30
13  -1.10243e-29  4.50896e-30
14  -1.35466e-29  5.22683e-30
15  -1.66335e-29  6.03854e-30
16  -2.04086e-29  6.95034e-30
17  -2.50222e-29  7.96674e-30
18  -3.06565e-29  9.08946e-30
19  -3.75321e-29  1.03161e-29
20  -4.59169e-29  1.16382e-29
21  -5.61347e-29  1.30391e-29
22  -6.85776e-29  1.44902e-29
23  -8.37194e-29  1.59475e-29
24  -1.02133e-28  1.73459e-29
25  -1.24508e-28  1.85924e-29
26  -1.51681e-28  1.95575e-29
27  -1.84654e-28  2.00636e-29
28  -2.24641e-28  1.98717e-29
29  -2.73097e-28  1.86623e-29
30  -3.31776e-28  1.60138e-29
31  -4.02785e-28  1.13734e-29
32  -4.88655e-28  4.02143e-30
33  -5.92425e-28  -6.97352e-30
34  -7.17736e-28  -2.28105e-29
35  -8.68954e-28  -4.50263e-29
36  -1.05131e-27  -7.55822e-29
37  -1.27105e-27  -1.16972e-28
38  -1.53566e-27  -1.72358e-28
39  -1.85407e-27  -2.45732e-28
40  -2.23694e-27  -3.42128e-28
41  -2.697e-27  -4.67867e-28
42  -3.24939e-27  -6.30879e-28
43  -3.91217e-27  -8.41077e-28
44  -4.70681e-27  -1.11084e-27
45  -5.65883e-27  -1.45558e-27
46  -6.79856e-27  -1.89447e-27
47  -8.16195e-27  -2.45131e-27
48  -9.79166e-27  -3.15557e-27
49  -1.17382e-26  -4.04373e-27
50  -1.40614e-26  -5.16085e-27
51  -1.68318e-26  -6.5625e-27
52  -2.0133e-26  -8.31714e-27
53  -2.40634e-26  -1.0509e-26
54  -2.87392e-26  -1.32415e-26
55  -3.4297e-26  -1.66415e-26
56  -4.08975e-26  -2.08647e-26
57  -4.87297e-26  -2.61014e-26
58  -5.80152e-26  -3.25845e-26
59  -6.90138e-26  -4.05984e-26
60  -8.20297e-26  -5.04899e-26
61  -9.74185e-26  -6.26819e-26
62  -1.15595e-25  -7.76893e-26
63  -1.37045e-25  -9.61382e-26
64  -1.6233e-25  -1.1879e-25
65  -1.92108e-25  -1.46568e-25
66  -2.27138e-25  -1.80593e-25
67  -2.68303e-25  -2.22222e-25
68  -3.16623e-25  -2.73101e-25
69  -3.73278e-25  -3.35216e-25
70  -4.39626e-25  -4.10973e-25
71  -5.17228e-25  -5.03273e-25
72  -6.07881e-25  -6.15618e-25
73  -7.13636e-25  -7.52229e-25
74  -8.36842e-25  -9.18193e-25
75  -9.80171e-25  -1.11963e-24
76  -1.14666e-24  -1.3639e-24
77  -1.33974e-24  -1.65985e-24
78  -1.5633e-24  -2.0181e-24
79  -1.8217e-24  -2.4514e-24
80  -2.11981e-24  -2.97502e-24
81  -2.46305e-24  -3.60726e-24
82  -2.85746e-24  -4.37005e-24
83  -3.30964e-24  -5.28959e-24
84  -3.82682e-24  -6.3972e-24
85  -4.41683e-24  -7.73031e-24
86  -5.08805e-24  -9.33357e-24
87  -5.84936e-24  -1.12603e-23
88  -6.70999e-24  -1.35739e-23
89  -7.67936e-24  -1.63499e-23
90  -8.76679e-24  -1.96785e-23
91  -9.98115e-24  -2.36665e-23
92  -1.13304e-23  -2.84411e-23
93  -1.28207e-23  -3.41533e-23
94  -1.44559e-23  -4.09821e-23
95  -1.62361e-23  -4.91401e-23
96  -1.81562e-23  -5.88789e-23
97  -2.0204e-23  -7.04965e-23
98  -2.23579e-23  -8.43456e-23
99  -2.45836e-23  -1.00843e-22
100  -2.68303e-23  -1.20481e-22
101  -2.90262e-23  -1.43842e-22
102  -3.10719e-23  -1.71612e-22
103  -3.28332e-23  -2.04598e-22
104  -3.41318e-23  -2.43755e-22
105  -3.47338e-23  -2.90204e-22
106  -3.43355e-23  -3.45264e-22
107  -3.25463e-23  -4.10487e-22
108  -2.88669e-23  -4.87693e-22
109  -2.26639e-23  -5.79021e-22
110  -1.3138e-23  -6.86977e-22
111  7.151e-25  -8.14501e-22
112  2.01509e-23  -9.65032e-22
113  4.67332e-23  -1.1426e-21
114  8.24032e-23  -1.3519e-21
115  1.29562e-22  -1.59844e-21
116  1.91173e-22  -1.88864e-21
117  2.70878e-22  -2.22997e-21
118  3.73151e-22  -2.63117e-21
119  5.03464e-22  -3.10238e-21
120  6.68505e-22  -3.65543e-21
121  8.76425e-22  -4.30405e-21
122  1.13714e-21  -5.06418e-21
123  1.4627e-21  -5.95434e-21
124  1.86771e-21  -6.99597e-21
125  2.36983e-21  -8.21394e-21
126  2.99043e-21  -9.63699e-21
127  3.75529e-21  -1.12984e-20
128  4.69546e-21  -1.32364e-20
129  5.84831e-21  -1.54955e-20
130  7.25875e-21  -1.81266e-20
131  8.98068e-21  -2.11885e-20
132  1.10787e-20  -2.47489e-20
133  1.36302e-20  -2.88852e-20
134  1.67276e-20  -3.36866e-20
135  2.04816e-20  -3.92552e-20
136  2.50238e-20  -4.57079e-20
137  3.05116e-20  -5.31783e-20
