#tstp   Ax    Ay
-1  0  0
0  -5.54897e-123  4.20318e-123
1  -1.26263e-122  9.17249e-123
2  -2.86797e-122  1.99707e-122
3  -6.503e-122  4.33774e-122
4  -1.47197e-121  9.39874e-122
5  -3.32614e-121  2.0313e-121
6  -7.50311e-121  4.37862e-121
7  -1.68969e-120  9.41272e-121
8  -3.79879e-120  2.0177e-120
9  -8.52628e-120  4.31229e-120
10  -1.91053e-119  9.18765e-120
11  -4.27398e-119  1.95107e-119
12  -9.54554e-119  4.12888e-119
13  -2.12844e-118  8.70536e-119
14  -4.73824e-118  1.82821e-118
15  -1.05311e-117  3.82316e-118
16  -2.33685e-117  7.95833e-118
17  -5.17717e-117  1.64834e-117
18  -1.14515e-116  3.3953e-117
19  -2.52896e-116  6.9511e-117
20  -5.57613e-116  1.41334e-116
21  -1.22755e-115  2.85137e-116
22  -2.69811e-115  5.701e-116
23  -5.92103e-115  1.12788e-115
24  -1.29734e-114  2.20337e-115
25  -2.83812e-114  4.23808e-115
26  -6.19911e-114  7.99304e-115
27  -1.35192e-113  1.46892e-114
28  -2.94369e-113  2.60399e-114
29  -6.3997e-113  4.37329e-114
30  -1.38915e-112  6.70504e-114
31  -3.01069e-112  8.50128e-114
32  -6.51488e-112  5.36147e-114
33  -1.40758e-111  -1.65688e-113
34  -3.03643e-111  -9.65013e-113
35  -6.54001e-111  -3.38881e-112
36  -1.40643e-110  -1.01113e-111
37  -3.01983e-110  -2.7791e-111
38  -6.47396e-110  -7.26619e-111
39  -1.38574e-109  -1.83661e-110
40  -2.96151e-109  -4.52946e-110
41  -6.31926e-109  -1.09625e-109
42  -1.34629e-108  -2.61387e-109
43  -2.86373e-108  -6.15672e-109
44  -6.08191e-108  -1.43537e-108
45  -1.28963e-107  -3.31721e-108
46  -2.73025e-107  -7.60805e-108
47  -5.771e-107  -1.73322e-107
48  -1.21789e-106  -3.92492e-107
49  -2.56611e-106  -8.84007e-107
50  -5.39815e-106  -1.98125e-106
51  -1.13375e-105  -4.42034e-106
52  -2.37732e-105  -9.82092e-106
53  -4.97683e-105  -2.17348e-105
54  -1.04018e-104  -4.7926e-105
55  -2.17048e-104  -1.05316e-104
56  -4.52153e-104  -2.30675e-104
57  -9.40362e-104  -5.03693e-104
58  -1.95245e-103  -1.0966e-103
59  -4.04701e-103  -2.38072e-103
60  -8.37442e-103  -5.15452e-103
61  -1.72995e-102  -1.1131e-102
62  -3.56752e-102  -2.39766e-102
63  -7.34421e-102  -5.15204e-102
64  -1.50926e-101  -1.10444e-101
65  -3.09609e-101  -2.36215e-101
66  -6.33998e-101  -5.04078e-101
67  -1.29592e-100  -1.07334e-100
68  -2.64407e-100  -2.28061e-100
69  -5.38472e-100  -4.83566e-100
70  -1.09456e-99  -1.02322e-99
71  -2.22069e-99  -2.16077e-99
72  -4.49674e-99  -4.55398e-99
73  -9.08771e-99  -9.57916e-99
74  -1.83292e-98  -2.0111e-98
75  -3.68932e-98  -4.21424e-98
76  -7.41053e-98  -8.8145e-98
77  -1.48536e-97  -1.84025e-97
78  -2.97078e-97  -3.83504e-97
79  -5.92852e-97  -7.9778e-97
80  -1.18041e-96  -1.65663e-96
81  -2.34477e-96  -3.43403e-96
82  -4.64644e-96  -7.10603e-96
83  -9.18458e-96  -1.46791e-95
84  -1.81084e-95  -3.02713e-95
85  -3.56072e-95  -6.23196e-95
86  -6.98216e-95  -1.28082e-94
87  -1.36515e-94  -2.62798e-94
88  -2.66106e-94  -5.38313e-94
89  -5.17059e-94  -1.10086e-93
90  -1.0013e-93  -2.24757e-93
91  -1.93212e-93  -4.58128e-93
92  -3.71408e-93  -9.32297e-93
93  -7.11047e-93  -1.89417e-92
94  -1.3553e-92  -3.84224e-92
95  -2.57099e-92  -7.78132e-92
96  -4.8517e-92  -1.57336e-91
97  -9.10294e-92  -3.17623e-91
98  -1.69697e-91  -6.40185e-91
99  -3.14059e-91  -1.28829e-90
100  -5.76422e-91  -2.58842e-90
101  -1.0478e-90  -5.19245e-90
102  -1.883e-90  -1.03999e-89
103  -3.33745e-90  -2.07971e-89
104  -5.81439e-90  -4.1524e-89
105  -9.90753e-90  -8.27784e-89
106  -1.63851e-89  -1.64762e-88
107  -2.59611e-89  -3.27432e-88
108  -3.84558e-89  -6.49693e-88
109  -5.03804e-89  -1.28712e-87
110  -4.86903e-89  -2.54599e-87
111  4.41462e-90  -5.02826e-87
112  2.07041e-88  -9.91527e-87
113  7.98452e-88  -1.95216e-86
114  2.33912e-87  -3.83753e-86
115  6.10513e-87  -7.53204e-86
116  1.49408e-86  -1.47604e-85
117  3.50816e-86  -2.88805e-85
118  8.00148e-86  -5.64203e-85
119  1.78591e-85  -1.10049e-84
120  3.91945e-85  -2.14318e-84
121  8.48571e-85  -4.16726e-84
122  1.81663e-84  -8.0902e-84
123  3.85219e-84  -1.56814e-83
124  8.10187e-84  -3.03476e-83
125  1.69178e-83  -5.86378e-83
126  3.51021e-83  -1.1312e-82
127  7.24169e-83  -2.17877e-82
128  1.48626e-82  -4.18976e-82
129  3.03594e-82  -8.04396e-82
130  6.1744e-82  -1.54188e-81
131  1.25065e-81  -2.95072e-81
132  2.52368e-81  -5.63767e-81
133  5.07445e-81  -1.07538e-80
