#tstp   Ax    Ay
-1  0  0
0  4.17121e-69  -1.24397e-69
1  6.59446e-69  -1.8594e-69
2  1.04162e-68  -2.76902e-69
3  1.64381e-68  -4.1069e-69
4  2.59185e-68  -6.06393e-69
5  4.08304e-68  -8.90893e-69
6  6.42648e-68  -1.30155e-68
7  1.0106e-67  -1.88941e-68
8  1.58782e-67  -2.72274e-68
9  2.49254e-67  -3.8902e-68
10  3.90932e-67  -5.50207e-68
11  6.12603e-67  -7.6867e-68
12  9.59127e-67  -1.0576e-67
13  1.50035e-66  -1.42695e-67
14  2.34492e-66  -1.87576e-67
15  3.66171e-66  -2.37694e-67
16  5.71295e-66  -2.84868e-67
17  8.90546e-66  -3.10233e-67
18  1.38699e-65  -2.74966e-67
19  2.1583e-65  -1.04075e-67
20  3.35559e-65  3.41542e-67
21  5.21252e-65  1.31268e-66
22  8.08997e-65  3.25212e-66
23  1.25449e-64  6.92901e-66
24  1.9436e-64  1.36621e-65
25  3.00862e-64  2.56887e-65
26  4.65315e-64  4.67704e-65
27  7.1903e-64  8.31836e-65
28  1.11011e-63  1.45332e-64
29  1.71239e-63  2.5036e-64
30  2.63913e-63  4.26376e-64
31  4.06382e-63  7.19252e-64
32  6.25211e-63  1.20354e-63
33  9.61027e-63  1.99992e-63
34  1.47591e-62  3.30312e-63
35  2.26466e-62  5.42626e-63
36  3.47183e-62  8.8714e-63
37  5.31776e-62  1.44413e-62
38  8.13791e-62  2.34159e-62
39  1.24425e-61  3.78318e-62
40  1.90072e-61  6.09206e-62
41  2.90092e-61  9.78002e-62
42  4.42348e-61  1.56558e-61
43  6.73907e-61  2.49948e-61
44  1.02576e-60  3.98048e-61
45  1.55989e-60  6.32399e-61
46  2.36999e-60  1.00247e-60
47  3.59753e-60  1.58573e-60
48  5.45586e-60  2.50324e-60
49  8.26651e-60  3.94395e-60
50  1.25135e-59  6.20228e-60
51  1.89249e-59  9.73632e-60
52  2.85945e-59  1.52577e-59
53  4.31641e-59  2.38704e-59
54  6.50961e-59  3.72849e-59
55  9.8079e-59  5.81471e-59
56  1.47633e-58  9.05453e-59
57  2.22011e-58  1.40788e-58
58  3.33538e-58  2.18595e-58
59  5.00607e-58  3.38929e-58
60  7.50625e-58  5.2479e-58
61  1.1244e-57  8.11489e-58
62  1.68264e-57  1.25318e-57
63  2.51552e-57  1.9328e-57
64  3.75687e-57  2.97726e-57
65  5.60511e-57  4.58048e-57
66  8.35405e-57  7.03849e-57
67  1.24383e-56  1.08027e-56
68  1.85e-56  1.65605e-56
69  2.74869e-56  2.5358e-56
70  4.0796e-56  3.87848e-56
71  6.0484e-56  5.92546e-56
72  8.95758e-56  9.04274e-56
73  1.32514e-55  1.37849e-55
74  1.95816e-55  2.09912e-55
75  2.89029e-55  3.19305e-55
76  4.26126e-55  4.85194e-55
77  6.2752e-55  7.36495e-55
78  9.23003e-55  1.1168e-54
79  1.35599e-54  1.69174e-54
80  1.98965e-54  2.56005e-54
81  2.9158e-54  3.87014e-54
82  4.26763e-54  5.8448e-54
83  6.23811e-54  8.81822e-54
84  9.10635e-54  1.32912e-53
85  1.32754e-53  2.00135e-53
86  1.93264e-53  3.01063e-53
87  2.80955e-53  4.52453e-53
88  4.07839e-53  6.79317e-53
89  5.91141e-53  1.01896e-52
90  8.55507e-53  1.52696e-52
91  1.23613e-52  2.28607e-52
92  1.78317e-52  3.41936e-52
93  2.56792e-52  5.10966e-52
94  3.69151e-52  7.62845e-52
95  5.297e-52  1.13783e-51
96  7.58622e-52  1.69558e-51
97  1.08431e-51  2.52442e-51
98  1.54657e-51  3.75496e-51
99  2.20106e-51  5.58026e-51
100  3.12526e-51  8.28531e-51
