#tstp   Ax    Ay
-1  0  0
0  8.53598e-08  3.88358e-08
1  8.95722e-08  4.12941e-08
2  9.39827e-08  4.38985e-08
3  9.86003e-08  4.66572e-08
4  1.03434e-07  4.9579e-08
5  1.08494e-07  5.2673e-08
6  1.13789e-07  5.59486e-08
7  1.19331e-07  5.9416e-08
8  1.2513e-07  6.30858e-08
9  1.31196e-07  6.69692e-08
10  1.37543e-07  7.10779e-08
11  1.44182e-07  7.54243e-08
12  1.51125e-07  8.00214e-08
13  1.58386e-07  8.48828e-08
14  1.65979e-07  9.00231e-08
15  1.73918e-07  9.54572e-08
16  1.82217e-07  1.01201e-07
17  1.90893e-07  1.07272e-07
18  1.9996e-07  1.13686e-07
19  2.09436e-07  1.20463e-07
20  2.19338e-07  1.27622e-07
21  2.29684e-07  1.35183e-07
22  2.40492e-07  1.43169e-07
23  2.51783e-07  1.516e-07
24  2.63575e-07  1.60501e-07
25  2.7589e-07  1.69897e-07
26  2.8875e-07  1.79814e-07
27  3.02178e-07  1.90278e-07
28  3.16195e-07  2.0132e-07
29  3.30828e-07  2.12968e-07
30  3.461e-07  2.25255e-07
31  3.62039e-07  2.38214e-07
32  3.7867e-07  2.51879e-07
33  3.96023e-07  2.66287e-07
34  4.14126e-07  2.81476e-07
35  4.3301e-07  2.97486e-07
36  4.52705e-07  3.14361e-07
37  4.73244e-07  3.32142e-07
38  4.94661e-07  3.50878e-07
39  5.16991e-07  3.70616e-07
40  5.40269e-07  3.91408e-07
41  5.64533e-07  4.13306e-07
42  5.89822e-07  4.36366e-07
43  6.16175e-07  4.60648e-07
44  6.43634e-07  4.86211e-07
45  6.72242e-07  5.13121e-07
46  7.02043e-07  5.41444e-07
47  7.33084e-07  5.71251e-07
48  7.6541e-07  6.02616e-07
49  7.99072e-07  6.35615e-07
50  8.3412e-07  6.7033e-07
51  8.70607e-07  7.06845e-07
52  9.08587e-07  7.45248e-07
53  9.48115e-07  7.85632e-07
